LAT,LNG,CLS
44.8895579467,20.2880128161,0
44.7883510924,20.4886176029,1
44.5916905029,20.393502319,2
44.4430483382,20.6864123464,3
44.6539124952,20.2095286175,4
44.4010433449,20.2780787191,5
44.6290861186,20.6982548577,6
44.755799103,20.4193883826,7
44.8084970084,20.2642678267,8
44.8890308849,20.4613176206,9
44.7081169916,20.5605437574,10
44.8239204215,20.3942214591,11
44.707454925,20.3573428808,12
44.6155725342,20.0941160411,13
44.5444411225,20.6083087582,14
